name,city,brand,operator,longitude,latitude
Route 66,Manchester,,Route 66 Drive In Cinemas,-2.316303,53.4711324
Cineworld,,Cineworld,,0.1503111,51.4561474
New Carlton Cinema,Okehampton,,,-4.0035811,50.7393488
Odeon,Gateshead,Odeon,,-1.670193,54.9588263
Everyman,,Everyman Cinemas,,-0.5530925,51.5889868
Cineworld,Luton,Cineworld,,-0.4178798,51.8819746
The Rex Cinema,Elland,,,-1.8381027,53.6851771
Palace Cinema,Felixstowe,,,1.3511137,51.9641304
Cineworld,Didcot,Cineworld,,-1.2404342,51.6074383
,London,Picturehouse Cinemas,,-0.1973473,51.5086882
Electric Cinema,London,,,-0.2050653,51.5155295
Pavilion Cinema,Galashiels,Merlin Cinemas,Merlin Cinemas,-2.8055269,55.6155376
Odeon,,Odeon,,-0.8083843,53.0742859
Eastleigh Vue,Eastleigh,Vue,Vue,-1.3517447,50.9665434
Astoria,Ayr,Merlin Cinemas,,-4.6282459,55.4576171
Cineworld,Milton Keynes,Cineworld,,-0.7487835,52.0411239
The Birks Cinema,Aberfeldy,,,-3.8647384,56.6199147
Plaza Cinema,Skipton,,,-2.0173452,53.9585838
Vue,Plymouth,Vue,,-4.1248563,50.3670529
Cineworld,Shrewsbury,Cineworld,,-2.7393773,52.7030817
Vue,Broadstairs,Vue,,1.3898406,51.3577936
Gala,Durham,,,-1.5750618,54.7783842
Red Carpet Cinema,Burton-on-Trent,,,-1.709933,52.7590888
Savoy Catterick Garrison,Catterick Garrison,,,-1.7249107,54.376026
Plaza Weston,Weston-Super-Mare,Merlin Cinemas,,-2.9758091,51.3466643
Rich Mix Cinema,London,,,-0.0730953,51.5243518
Lisburn Omniplex,,,Omniplex Cinema Group,-6.0516643,54.5075269
Orion Cinema,Dereham,,,0.9403149,52.6811856
Aldeburgh Cinema,Aldeburgh,,,1.6016204,52.1541636
Cineworld,Stevenage,Cineworld,CineWorld,-0.2096594,51.9001962
Cineworld Whiteley,,Cineworld,Cineworld,-1.2479774,50.8860545
Omniplex,Sunderland,,,-1.3804595,54.9081342
Kino Cinema,,,,0.511033,51.0472552
CineWorld Haverhill,,Cineworld,,0.4433722,52.0817665
Central Cinema,Fakenham,Hollywood Cinemas,,0.8468956,52.8302419
The Plaza,,,,-3.7792351,51.5916529
Cineworld,Birmingham,Cineworld,,-1.7172309,52.4478895
,,,,-7.3818626,54.7189978
Everyman Cinema,London,,,-0.1462083,51.5895948
Electric Palace,Bridport,,,-2.75758,50.7320655
,TENBURY WELLS,,,-2.594564,52.3124124
Luxe Cinema,,,,0.1590642,52.66328
Greenock Waterfront Cinema,,,,-4.7565259,55.951408
Newcastle Community Cinema,Newcastle,,,-5.8886151,54.2127419
Cineworld,St. Neots,Cineworld,,-0.2639559,52.2288707
,,,,0.1921534,51.2701359
Cineworld,London,Cineworld,Cineworld,-0.1934097,51.4541535
Odeon,Brighton,Odeon,,-0.145397,50.8212693
The Rex,,,,-2.1113393,50.6856616
The Picture House Uckfield,Uckfield,,,0.0965461,50.9724349
Curzon Cinema,Knutsford,Curzon,,-2.3726948,53.3020232
Pickaquoy Leisure Centre & Cinema,,,,-2.9736729,58.9824687
Odeon,London,Odeon,,-0.1325849,51.5183594
The Cart House,,,,-3.0480085,54.2764651
Alhambra,Penrith,,,-2.7540051,54.6656355
Odeon Richmond Studio (Screens 4-7),Richmond,Odeon,Odeon,-0.3054528,51.4593806
Wellesley Cinema,Wellington,Merlin Cinemas,,-3.2310923,50.9759377
The Windmill,,,,-0.5406798,50.8031055
The Grosvenor Cinema,Glasgow,,,-4.2931757,55.8746661
The Regent Centre,,,,-3.3168836,52.5166203
Cineworld,High Wycombe,Cineworld,,-0.7555507,51.6311538
Vue,Livingston,Vue,,-3.5188705,55.8834354
Odeon Wrexham,Wrexham,Odeon,,-2.9874298,53.0442942
The Light,Thetford,,,0.7457813,52.4133855
Plaza Cinema,,,,-2.4382337,50.7139138
ODEON Putney,London,Odeon,,-0.2139173,51.4651771
Vue,London,Vue,,-0.2188484,51.503414
Armagh Omniplex,Armagh,,Omniplex Cinema Group,-6.6539385,54.3483327
The Lighthouse Cinema,,,,-2.1231842,52.5875345
Odeon,Telford,Odeon,,-2.4489078,52.6791803
Odeon Cinemas,Kettering,Odeon,,-0.7165876,52.3731949
Haslemere Hall,Haslemere,,,-0.7110525,51.0902035
Odeon,,Odeon,,-0.238418,51.7627934
Bathgate Cinema,,,,-3.642012,55.901965
Lexi Cinema,London,,,-0.2224753,51.5375275
High Wycombe Omniplex,,,,-0.7719429,51.6131354
Everyman York,York,Everyman Cinemas,,-1.0929975,53.954818
Odeon,Bristol,Odeon,,-2.5915285,51.4566839
The Island Cinema,Lytham St Annes,,,-3.0315829,53.7466242
The Plaza,,,WTW Cinemas,-5.0523149,50.261851
Odeon,,Odeon,,-2.7170955,52.0585766
Odeon Northwich,Northwich,Odeon,,-2.5145996,53.2624035
